Date,Time,TxBat(V),VFR 2.4G(%),Rx VFR(%),VFR 900M(%),AccY(g),Altitude(m),RSSI 2.4G(dB),RX,RxBatt(V),AccX(g),AccZ(g),VSpeed(m/s),RSSI 900M(dB),RX,R.angle(°),P.angle(°),Power 900M(mW),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),VFAS(V),Current(A),Temp1(°C),Temp2(°C),Air speed(km/h),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,
2026-04-02,18:39:31.510,7.63,99,100,100,-0.022,-0.17,64,0,8.07,-0.041,0.983,-0.01,61,0,179.24,-3.85,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:31.740,7.63,96,100,100,-0.024,-0.15,64,0,8.07,-0.041,0.983,0.02,63,0,179.24,-3.85,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:32.000,7.63,95,100,100,-0.024,-0.15,62,0,8.07,-0.041,0.983,0.05,63,0,179.23,-3.85,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:32.260,7.63,94,100,100,-0.023,-0.13,60,0,8.07,-0.041,0.983,0.06,63,0,179.23,-3.85,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:32.530,7.63,97,100,100,-0.024,-0.17,59,0,8.07,-0.041,0.983,-0.06,66,0,179.23,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:32.800,7.63,99,100,100,-0.024,-0.17,59,0,8.07,-0.041,0.982,-0.05,63,0,179.23,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:33.070,7.63,100,100,100,-0.023,-0.16,59,0,8.07,-0.041,0.983,0.03,63,0,179.23,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:33.330,7.63,100,100,100,-0.023,-0.16,60,0,8.07,-0.041,0.983,-0.10,64,0,179.23,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:33.600,7.63,99,100,100,-0.023,-0.18,63,0,8.07,-0.041,0.983,0.00,66,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:33.860,7.63,97,100,100,-0.024,-0.16,65,0,8.07,-0.041,0.982,0.03,68,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:34.130,7.63,97,100,100,-0.023,-0.16,68,0,8.07,-0.041,0.983,0.03,67,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:34.400,7.63,98,100,100,-0.024,-0.17,71,0,8.07,-0.041,0.983,-0.01,65,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:34.660,7.63,99,100,100,-0.024,-0.12,72,0,8.07,-0.041,0.983,0.09,69,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:34.920,7.63,99,100,100,-0.024,-0.09,74,0,8.07,-0.041,0.983,0.09,76,0,179.23,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:35.190,7.63,99,100,100,-0.024,-0.10,75,0,8.07,-0.041,0.983,0.03,77,0,179.23,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:35.450,7.63,100,100,100,-0.024,-0.13,77,0,8.07,-0.041,0.983,-0.06,79,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:35.720,7.63,99,100,100,-0.023,-0.11,78,0,8.07,-0.041,0.983,-0.02,80,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:35.980,7.63,99,100,100,-0.024,-0.12,78,0,8.07,-0.041,0.983,0.02,80,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,12,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:36.250,7.63,99,100,100,-0.024,-0.12,78,0,8.07,-0.041,0.983,0.03,84,0,179.23,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:36.510,7.63,99,100,100,-0.023,-0.16,78,0,8.07,-0.041,0.983,-0.03,85,0,179.23,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:36.770,7.63,99,100,100,-0.041,-0.16,78,0,8.04,-0.051,0.995,-0.03,85,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,6,-1024,784,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:37.040,7.63,99,100,100,-0.054,-0.18,78,0,8.04,-0.046,0.985,-0.05,85,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,11,-1024,-491,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:37.310,7.63,100,100,100,-0.014,-0.14,78,0,8.01,-0.037,0.989,0.02,86,0,179.21,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,13,-1024,-326,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:37.570,7.63,100,100,100,-0.006,-0.12,78,0,8.00,-0.040,0.981,0.10,85,0,179.23,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,-635,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:37.840,7.63,100,100,100,-0.040,-0.15,78,0,7.93,-0.032,0.957,-0.03,85,0,179.25,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,494,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:38.100,7.63,100,100,100,-0.023,-0.15,79,0,7.95,-0.051,0.981,-0.01,86,0,179.23,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,18,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:38.370,7.63,100,100,100,-0.024,-0.15,80,0,8.01,-0.055,0.988,0.00,85,0,179.24,-3.84,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:38.630,7.63,100,100,100,-0.032,-0.22,80,0,8.02,-0.037,0.991,-0.13,85,0,179.24,-3.85,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,544,16,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:38.890,7.63,100,100,100,-0.008,-0.23,80,0,7.95,-0.039,0.983,-0.13,86,0,179.19,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,-304,16,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:39.150,7.63,100,100,100,-0.047,-0.22,80,0,7.96,-0.043,0.981,0.00,86,0,179.28,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,252,16,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:39.410,7.63,100,100,100,-0.014,-0.18,80,0,7.95,-0.037,0.980,0.06,85,0,179.20,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,114,16,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:39.670,7.62,100,100,100,-0.023,-0.18,80,0,7.98,-0.037,0.984,0.06,86,0,179.21,-3.89,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:39.940,7.62,100,100,100,-0.040,-0.19,80,0,8.03,-0.043,0.981,-0.02,87,0,179.26,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:40.200,7.63,100,100,100,-0.018,-0.19,80,0,8.05,-0.040,0.984,0.03,86,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:40.470,7.63,100,100,100,-0.013,-0.25,80,0,8.06,-0.042,0.981,-0.10,86,0,179.25,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:40.730,7.62,99,100,100,-0.030,-0.25,80,0,8.07,-0.044,0.981,-0.08,85,0,179.26,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:40.990,7.62,99,100,100,-0.022,-0.22,81,0,8.07,-0.041,0.983,0.05,85,0,179.25,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:41.250,7.63,99,100,100,-0.018,-0.16,81,0,8.07,-0.041,0.982,0.09,85,0,179.25,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:41.520,7.63,100,100,100,-0.025,-0.17,81,0,8.07,-0.042,0.982,0.06,86,0,179.25,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:41.780,7.63,100,100,100,-0.027,-0.16,81,0,8.07,-0.041,0.984,0.02,86,0,179.25,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:42.040,7.63,99,99,99,-0.022,-0.20,81,0,8.07,-0.041,0.983,-0.06,86,0,179.25,-3.86,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:42.300,7.63,99,99,99,-0.022,-0.22,81,0,8.07,-0.041,0.983,-0.03,86,0,179.25,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:42.570,7.63,97,99,99,-0.025,-0.22,81,0,8.07,-0.041,0.984,0.00,86,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:42.830,7.63,98,99,99,-0.023,-0.21,81,0,8.07,-0.041,0.983,0.04,85,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,16,-1024,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:43.090,7.63,98,99,99,-0.023,-0.25,81,0,8.07,-0.041,0.983,-0.05,87,0,179.24,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-1022,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:43.360,7.63,100,100,99,-0.024,-0.17,81,0,8.07,-0.041,0.983,0.06,87,0,179.24,-3.88,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,0,15,-909,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:43.630,7.63,100,100,99,-0.024,-0.16,81,0,8.07,-0.042,0.982,0.13,86,0,179.24,-3.88,10,0.00,,,,,,,,,33.69,0.5,-30,-30,,0,16,-821,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:43.900,7.63,100,100,99,-0.017,-0.21,81,0,8.07,-0.041,0.980,-0.01,87,0,179.23,-3.88,10,0.00,,,,,,,,,33.69,0.5,-30,-30,,0,16,-803,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:44.160,7.63,100,100,99,-0.029,-0.23,81,0,8.07,-0.042,0.981,-0.10,87,0,179.24,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,1,16,-799,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:44.420,7.63,100,100,99,-0.026,-0.24,81,0,8.07,-0.041,0.979,-0.10,87,0,179.22,-3.87,10,0.00,,,,,,,,,33.69,0.0,-30,-30,,56,16,-795,0,0,667,0,0,1,-1,0,1,-1,-1,-1,1,-1,-1,1,0,
2026-04-02,18:39:44.680,7.63,100,100,99,-0.025,-0.24,81,0,8.07,-0.045,0.977,0.01,86,0,179.20,-3.87,10,0.00,,,,,,,,,33.64,1.0,-30,-30,,29,16,-404,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,
2026-04-02,18:39:44.940,7.62,99,99,99,-0.026,-0.24,81,0,8.07,-0.045,0.969,-0.01,87,0,179.18,-3.79,10,0.00,,,,,,,,,33.64,1.0,-30,-30,,32,16,-278,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,
2026-04-02,18:39:45.210,7.63,99,99,99,-0.005,-0.40,80,0,8.07,-0.043,0.956,-0.01,86,0,179.13,-3.37,10,0.00,,,,,,,,,33.58,6.4,-30,-30,,0,16,-137,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,
2026-04-02,18:39:45.470,7.63,99,99,99,-0.023,-1.16,80,0,8.07,-0.036,0.973,-1.19,86,0,179.15,-3.41,10,0.00,,,,,,,,,33.58,6.4,-30,-30,,28,14,3,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:45.730,7.63,100,100,99,-0.046,-1.59,80,0,8.04,-0.073,0.992,-1.44,87,0,179.14,-3.12,10,0.00,,,,,,,,,33.43,7.8,-30,-30,,89,-37,121,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:45.990,7.63,100,100,100,-0.015,-1.99,80,0,8.05,-0.181,1.074,-1.41,87,0,179.19,-3.52,10,0.00,,,,,,,,,33.43,7.8,-30,-30,,0,-154,201,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:46.250,7.63,100,100,100,-0.011,-2.35,80,0,7.99,-0.227,0.989,-1.33,88,0,179.27,-4.87,10,0.00,,,,,,,,,33.25,9.8,-30,-30,,-75,-174,236,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:46.520,7.63,100,100,100,-0.013,-2.66,80,0,8.00,-0.251,0.968,-1.20,88,0,179.40,-6.48,10,0.00,,,,,,,,,33.25,9.8,-30,-30,,27,-190,429,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:46.780,7.63,100,100,100,-0.002,-2.96,79,0,8.04,-0.245,1.068,-1.07,88,0,179.40,-7.05,10,0.00,,,,,,,,,32.96,14.6,-30,-30,,36,-231,517,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:47.050,7.63,99,100,100,0.079,-3.39,78,0,8.04,-0.347,0.891,-1.29,87,0,179.44,-9.58,10,0.00,,,,,,,,,32.96,14.6,-30,-30,,0,-235,582,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:47.320,7.63,99,100,100,-0.055,-3.74,77,0,8.05,-0.339,0.983,-1.32,85,0,179.64,-10.27,10,0.00,,,,,,,,,32.64,26.7,-30,-30,,63,-239,586,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:47.580,7.63,99,100,100,-0.005,-4.04,77,0,8.06,-0.241,0.989,-1.18,83,0,-171.32,-12.24,10,0.00,,,,,,,,,32.64,26.7,-30,-30,,0,-249,633,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:47.840,7.63,100,100,100,-0.021,-4.08,78,0,8.05,-0.406,0.886,-0.59,81,0,-179.85,-13.92,10,0.00,,,,,,,,,32.32,30.8,-30,-30,,8,-209,676,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:48.100,7.63,100,100,100,-0.021,-4.20,78,0,8.06,-0.342,0.958,-0.35,80,0,-179.65,-15.25,10,0.00,,,,,,,,,32.32,30.8,-30,-30,,75,-57,682,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:48.370,7.63,99,100,100,-0.048,-4.49,72,0,8.07,-0.291,1.071,-0.77,74,0,-179.65,-15.43,10,0.00,,,,,,,,,32.01,30.8,-30,-30,,119,-184,701,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:48.640,7.63,98,100,100,0.025,-4.54,69,0,8.07,-0.341,0.909,-0.15,68,0,-179.80,-16.76,10,0.00,,,,,,,,,32.01,42.3,-30,-30,,211,-222,715,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:48.910,7.63,96,100,100,0.058,-4.44,70,0,8.07,-0.337,0.921,0.08,68,0,-179.54,-17.31,10,0.00,,,,,,,,,31.73,42.3,-30,-30,,285,-223,719,151,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:49.170,7.62,97,99,99,-0.009,-4.50,71,0,8.05,-0.371,1.049,0.05,67,0,-179.59,-18.01,10,0.00,,,,,,,,,31.48,44.2,-30,-30,,297,-283,720,194,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:49.440,7.63,98,99,99,-0.042,-4.53,69,0,8.06,-0.332,1.062,-0.09,67,0,-179.31,-18.66,10,0.00,,,,,,,,,31.48,44.2,-30,-30,,276,-285,720,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:49.700,7.63,99,99,99,-0.070,-4.61,69,0,8.07,-0.346,1.074,-0.18,67,0,-179.03,-19.73,10,0.00,,,,,,,,,31.27,44.6,-30,-30,,265,-290,719,118,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:49.960,7.62,98,99,99,-0.070,-4.69,67,0,8.07,-0.318,0.885,-0.26,63,0,-179.23,-19.90,10,0.00,,,,,,,,,31.27,44.6,-30,-30,,249,-304,718,106,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:50.220,7.63,97,99,99,0.014,-4.74,67,0,8.07,-0.321,0.862,-0.22,62,0,-178.76,-20.31,10,0.00,,,,,,,,,31.09,44.7,-30,-30,,259,-337,718,107,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:50.480,7.63,97,99,99,0.001,-4.74,67,0,8.07,-0.312,0.979,-0.08,59,0,-178.60,-20.01,10,0.00,,,,,,,,,31.09,44.7,-30,-30,,235,-402,718,102,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:50.740,7.63,99,99,99,-0.048,-4.74,67,0,8.05,-0.322,0.845,0.03,58,0,-178.66,-20.86,10,0.00,,,,,,,,,30.95,43.6,-30,-30,,150,-433,714,65,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:51.010,7.63,100,100,99,-0.028,-4.77,67,0,8.04,-0.323,0.882,-0.14,56,0,-179.25,-20.65,10,0.00,,,,,,,,,30.95,43.6,-30,-30,,130,-482,714,29,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:51.270,7.63,100,100,99,-0.038,-4.60,65,0,8.05,-0.311,1.092,0.26,54,0,-179.56,-20.47,10,0.00,,,,,,,,,30.82,43.3,-30,-30,,185,-515,714,62,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:51.540,7.63,100,100,99,-0.008,-4.63,64,0,8.06,-0.318,1.008,0.22,53,0,-179.52,-21.28,10,0.00,,,,,,,,,30.82,43.3,-30,-30,,188,-443,716,52,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:51.800,7.63,100,100,99,-0.018,-4.57,61,0,8.07,-0.308,0.866,0.07,52,0,-179.55,-21.32,10,0.00,,,,,,,,,30.71,43.3,-30,-30,,151,-550,771,57,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:52.060,7.63,99,99,99,0.021,-4.72,60,0,8.04,-0.339,0.846,-0.13,49,0,-179.78,-20.95,10,0.00,,,,,,,,,30.71,43.3,-30,-30,,150,-651,779,57,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:52.330,7.63,98,98,98,0.029,-4.74,57,0,8.04,-0.385,1.043,-0.20,46,0,-179.50,-24.93,10,0.00,,,,,,,,,30.58,51.1,-30,-30,,156,-480,790,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:52.590,7.63,95,98,98,0.067,-4.55,55,0,8.05,-0.466,0.961,0.20,46,0,-179.17,-28.52,10,0.00,,,,,,,,,30.58,51.1,-30,-30,,156,-345,790,48,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:52.860,7.63,94,98,98,0.064,-4.06,53,0,8.04,-0.426,0.862,1.03,49,0,178.26,-28.62,10,0.00,,,,,,,,,30.45,52.4,-30,-30,,164,-417,790,247,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:53.130,7.63,93,99,99,0.058,-3.61,52,0,8.03,-0.418,0.868,1.49,50,0,179.04,-27.72,10,0.00,,,,,,,,,30.45,52.4,-30,-30,,179,-483,790,235,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:53.390,7.63,95,99,99,0.064,-3.48,53,0,8.05,-0.427,0.976,0.90,50,0,-176.25,-27.97,10,0.00,,,,,,,,,30.35,52.3,-30,-30,,162,-467,790,32,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:53.650,7.63,96,99,99,0.068,-3.16,53,0,8.06,-0.420,1.011,0.94,50,0,-134.33,-28.99,10,0.00,,,,,,,,,30.35,51.8,-30,-30,,114,-365,792,-31,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:53.910,7.63,96,99,99,0.056,-2.75,52,0,8.07,-0.403,0.977,1.23,47,0,174.52,-28.95,10,0.00,,,,,,,,,30.26,51.8,-30,-30,,66,-487,835,26,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:54.170,7.63,97,99,99,0.041,-2.63,53,0,8.01,-0.414,1.065,0.91,44,0,173.42,-28.56,10,0.00,,,,,,,,,30.14,54.8,-30,-30,,59,-522,851,24,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:54.430,7.62,98,98,97,0.041,-2.54,53,0,7.99,-0.437,1.166,0.44,39,0,174.23,-30.58,10,0.00,,,,,,,,,30.14,54.8,-30,-30,,62,-475,851,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:54.700,7.63,100,100,94,0.051,-2.20,53,0,8.04,-0.441,1.166,0.76,37,0,173.91,-34.36,10,0.00,,,,,,,,,30.04,59.0,-30,-30,,65,-291,851,-26,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:54.960,7.62,100,100,94,0.048,-2.20,53,0,8.05,-0.386,1.040,0.76,41,0,171.42,-34.18,10,0.00,,,,,,,,,30.04,59.0,-30,-30,,49,-359,850,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:55.230,7.63,100,100,94,0.041,-1.44,54,0,8.00,-0.378,0.955,1.29,45,0,167.02,-31.56,10,0.00,,,,,,,,,29.96,58.8,-30,-30,,38,-443,849,0,0,667,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
2026-04-02,18:39:55.500,7.63,100,100,94,0.039,-1.20,55,0,7.98,-0.399,1.096,1.01,49,0,164.87,-32.19,10,0.00,,,,,,,,,29.96,58.8,-30,-30,,35,-461,850,0,0,666,0,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,
